@relation pdbbindv2015-weka.filters.unsupervised.attribute.Remove-R1

@attribute	a1	numeric
@attribute	a2	numeric
@attribute	a3	numeric
@attribute	a4	numeric
@attribute	a5	numeric
@attribute	a6	numeric
@attribute	a7	numeric
@attribute	a8	numeric
@attribute	a9	numeric
@attribute	a10	numeric
@attribute	a11	numeric
@attribute	a12	numeric
@attribute	a13	numeric
@attribute	a14	numeric
@attribute	a15	numeric
@attribute	a16	numeric
@attribute	a17	numeric
@attribute	a18	numeric
@attribute	a19	numeric
@attribute	a20	numeric
@attribute	a21	numeric
@attribute	a22	numeric
@attribute	a23	numeric
@attribute	a24	numeric
@attribute	a25	numeric
@attribute	a26	numeric
@attribute	a27	numeric
@attribute	a28	numeric
@attribute	a29	numeric
@attribute	a30	numeric
@attribute	a31	numeric
@attribute	a32	numeric
@attribute	a33	numeric
@attribute	a34	numeric
@attribute	a35	numeric
@attribute	a36	numeric
@attribute	a37	numeric
@attribute	a38	numeric
@attribute	a39	numeric
@attribute	a40	numeric
@attribute	a41	numeric
@attribute	a42	numeric
@attribute	a43	numeric
@attribute	a44	numeric
@attribute	a45	numeric
@attribute	a46	numeric
@attribute	a47	numeric
@attribute	a48	numeric
@attribute	a49	numeric
@attribute	a50	numeric
@attribute	a51	numeric
@attribute	a52	numeric
@attribute	a53	numeric
@attribute	a54	numeric
@attribute	a55	numeric
@attribute	a56	numeric
@attribute	a57	numeric
@attribute	a58	numeric
@attribute	a59	numeric
@attribute	a60	numeric
@attribute	a61	numeric
@attribute	a62	numeric
@attribute	a63	numeric
@attribute	a64	numeric
@attribute	a65	numeric
@attribute	a66	numeric
@attribute	a67	numeric
@attribute	a68	numeric
@attribute	a69	numeric
@attribute	a70	numeric
@attribute	a71	numeric
@attribute	a72	numeric
@attribute	a73	numeric
@attribute	a74	numeric
@attribute	a75	numeric
@attribute	a76	numeric
@attribute	a77	numeric
@attribute	a78	numeric
@attribute	a79	numeric
@attribute	a80	numeric
@attribute	a81	numeric
@attribute	a82	numeric
@attribute	a83	numeric
@attribute	a84	numeric
@attribute	a85	numeric
@attribute	a86	numeric
@attribute	a87	numeric
@attribute	a88	numeric
@attribute	a89	numeric
@attribute	a90	numeric
@attribute	a91	numeric
@attribute	a92	numeric
@attribute	a93	numeric
@attribute	a94	numeric
@attribute	a95	numeric
@attribute	a96	numeric
@attribute	a97	numeric
@attribute	a98	numeric
@attribute	a99	numeric
@attribute	a100	numeric
@attribute	a101	numeric
@attribute	a102	numeric
@attribute	a103	numeric
@attribute	a104	numeric
@attribute	a105	numeric
@attribute	a106	numeric
@attribute	a107	numeric
@attribute	a108	numeric
@attribute	a109	numeric
@attribute	a110	numeric
@attribute	a111	numeric
@attribute	a112	numeric
@attribute	a113	numeric
@attribute	a114	numeric
@attribute	a115	numeric
@attribute	a116	numeric
@attribute	a117	numeric
@attribute	a118	numeric
@attribute	a119	numeric
@attribute	a120	numeric
@attribute	a121	numeric
@attribute	a122	numeric
@attribute	a123	numeric
@attribute	a124	numeric
@attribute	a125	numeric
@attribute	a126	numeric

@attribute energy numeric

@data
38,28,2,8,1,0,0,0,0,42,80,71,71,33,9,9,0,9,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,867,9,2,13,2.5,562.235,0,132,39,5,0,0,0,0,2,3.03,4.04,3.03,4.04,1.01,6.06,4.04,13.13,1.01,13.13,3.03,6.06,3.03,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9768.1,129,13,72,0,0,6,1,0,0,0,26,12,6,2,-11.569
36,28,4,6,2,0,0,0,0,43,79,68,68,32,11,11,0,11,4,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,2,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,942,9,3,14,3.8,588.208,0,175,40,4,0,0,0,0,6,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9867.3,129,14,74,0,0,6,1,0,0,0,22,13,6,2,-11.523
27,22,2,8,0,1,0,0,0,34,61,51,51,24,10,10,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,8,4,12,0.9,478.151,0,151,33,3,0,0,0,0,4,6.84,3.58,5.54,3.91,0.65,3.58,4.56,7.49,2.61,6.84,6.84,4.89,0.98,5.21,3.26,10.42,8.47,2.28,6.19,5.21,307,1,1,12173.7,209,30,17,0,1,0,1,0,0,0,21,25,97,3,-11.523
60,44,8,5,0,0,0,0,0,60,120,104,104,44,16,16,0,16,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1230,5,7,19,5.4,780.469,2,171,57,5,0,0,0,0,16,3.03,4.04,3.03,4.04,2.02,6.06,4.04,13.13,1.01,13.13,3.03,6.06,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10075.8,151,13,74,0,0,6,1,0,0,0,46,12,6,2,-11.398
39,33,3,8,1,0,0,0,0,48,87,73,73,34,14,14,0,14,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1090,9,2,14,1.7,637.246,0,151,45,3,0,0,0,0,4,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9771.7,126,13,72,0,0,6,1,0,0,0,23,12,6,2,-11.398
40,29,2,7,1,0,0,0,0,42,82,73,73,33,9,9,0,9,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,865,8,3,13,2.1,560.256,0,134,39,5,0,0,0,0,2,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,15.15,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10154.8,128,13,74,0,0,6,1,0,0,0,22,13,6,2,-11.347
28,20,3,4,0,0,0,0,0,29,57,51,51,23,6,6,0,6,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,498,5,4,6,-0.9,373.2,0,108,27,4,0,0,0,0,2,8.59,3.03,7.07,8.08,0.34,3.03,9.93,6.06,1.35,6.23,8.59,5.72,2.53,3.7,4.21,5.56,5.39,1.68,3.87,5.89,1170,2,0,46354.4,835,105,57,0,2,6,0,0,0,0,66,97,446,27,-11.337
47,32,1,4,0,0,0,0,0,41,88,83,83,36,5,5,0,5,5,0,0,2,2,0,0,0,1,7,0,0,0,0,0,0,0,7,12,0,2,2,0,0,0,0,0,0,8,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,6,1020,5,1,1,-2.2,509.351,0,68.1,37,8,0,2,0,0,2,5.27,4.83,3.95,10.54,1.76,4.83,3.95,4.39,1.32,3.95,5.27,4.3,2.19,4.83,5.27,9.22,7.46,1.76,5.27,7.46,1068,5,10,46449.2,719,35,374,6,5,6,0,0,0,0,112,79,86,17,-11.328
18,12,4,4,1,0,0,0,0,23,41,38,38,20,3,3,0,3,3,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,2,0,1,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,402,7,4,3,1.4,314.105,0,137,21,5,0,0,0,0,2,12.01,6.99,2.62,6.99,1.09,4.59,5.68,8.08,5.02,4.8,12.01,1.75,2.84,2.84,5.02,4.15,3.28,1.53,1.53,6.99,869,2,0,29473,653,95,72,1,0,8,0,0,0,0,55,76,282,24,-11.319
41,29,3,7,1,0,0,0,0,43,84,75,75,34,9,9,0,9,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,883,9,3,14,3.7,575.267,0,149,40,5,0,0,0,0,2,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9809.4,130,14,72,0,0,6,1,0,0,0,25,13,6,2,-11.301
37,34,3,6,0,0,0,0,0,47,84,71,71,34,13,13,0,13,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,852,7,3,10,4.9,583.268,0,106,43,2,0,0,0,0,8,3.03,4.04,4.04,4.04,2.02,6.06,4.04,13.13,1.01,13.13,3.03,6.06,2.02,2.02,6.06,0,8.08,2.02,1.01,6.06,198,2,0,9955.6,127,12,74,0,0,6,1,0,0,0,22,13,6,2,-11.301
48,37,4,5,0,0,0,0,0,49,97,85,85,37,12,12,0,12,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,940,5,4,15,5.9,628.362,0,120,46,4,0,0,0,0,8,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9831.9,125,12,71,0,0,6,1,0,0,0,24,11,6,2,-11.301
40,29,2,8,1,0,0,0,0,43,83,74,74,34,9,9,0,9,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,898,9,3,13,-3.1,576.251,0,143,40,6,0,0,0,0,2,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,15.15,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10162.4,125,12,74,0,0,6,1,0,0,0,21,13,6,2,-11.301
19,13,5,1,1,0,0,0,0,22,41,37,37,18,4,4,0,4,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,1,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,334,6,3,4,-1.2,293.131,0,116,20,2,0,0,0,0,5,11.69,3.23,3.63,5.65,2.02,2.82,5.65,10.08,5.65,6.85,11.69,4.44,2.02,3.23,2.42,4.84,5.24,0,1.61,9.27,468,2,0,17859,352,74,55,0,0,4,0,0,0,0,18,39,140,8,-11.301
25,19,3,4,1,0,0,0,0,29,54,48,48,23,6,6,0,6,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,492,6,5,7,6.8,391.157,0,109,27,4,0,0,0,0,2,8.59,3.03,7.07,8.08,0.51,3.03,9.93,6.06,1.35,6.23,8.59,5.72,2.53,3.7,4.21,5.56,5.39,1.68,3.87,5.72,1170,2,0,46683.3,832,107,57,0,2,6,0,0,0,0,68,94,443,26,-11.301
14,10,4,3,0,0,0,0,0,18,32,28,28,14,4,4,0,4,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,306,4,5,5,-2.1,238.107,0,110,17,0,0,0,0,0,5,7.61,5.88,3.81,4.5,1.38,4.5,6.23,9.34,2.77,4.15,7.61,4.15,4.15,5.19,5.19,4.84,5.19,1.04,3.11,7.96,286,1,0,13467.1,198,35,23,0,0,1,0,0,0,0,19,43,67,6,-11.284
41,33,5,6,2,0,0,0,0,49,90,78,78,37,12,12,0,12,4,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,3,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1040,9,4,14,-2.1,667.25,0,201,46,4,0,0,0,0,8,3.03,4.04,3.03,4.04,2.02,6.06,4.04,13.13,1.01,13.13,3.03,6.06,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9892.7,132,13,73,0,0,6,1,0,0,0,28,12,6,2,-11.26
35,27,3,7,1,0,2,0,2,43,78,69,69,34,9,9,0,9,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,937,11,3,12,2.7,583.216,0,149,40,5,0,0,0,0,2,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,15.15,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9857.2,126,13,73,0,0,5,1,0,0,0,20,13,6,2,-11.237
40,30,2,9,1,0,0,0,0,46,86,77,77,37,9,9,0,9,5,0,0,3,2,0,0,0,0,3,0,0,2,0,0,1,0,0,8,0,3,2,0,2,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,978,10,2,13,3.5,604.245,0,141,42,7,0,0,0,0,2,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,15.15,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9942.9,127,13,75,0,0,6,1,0,0,0,20,13,6,2,-11.229
36,32,3,7,1,0,3,0,3,49,85,72,72,36,13,13,0,13,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1110,11,2,13,1.2,663.223,0,134,46,3,0,0,0,0,2,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9692.9,130,14,72,0,0,6,1,0,0,0,25,13,6,2,-11.222
37,33,3,9,1,0,0,0,0,50,87,73,73,36,14,14,0,14,5,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,2,3,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1170,10,2,13,1.8,651.225,0,160,46,3,0,0,0,0,4,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9694.6,126,13,72,0,0,6,1,0,0,0,22,13,6,2,-11.222
38,28,2,8,1,0,0,0,0,42,80,71,71,33,9,9,0,9,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,867,9,2,13,2.5,562.235,0,132,39,5,0,0,0,0,2,3.03,4.04,3.03,4.04,1.01,6.06,4.04,13.13,1.01,12.12,3.03,6.06,4.04,2.02,6.06,1.01,8.08,2.02,1.01,7.07,198,2,0,9844.5,133,13,72,0,0,6,1,0,0,0,26,15,6,2,-11.201
20,23,5,4,1,0,0,0,0,39,59,48,48,28,11,11,0,11,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,827,7,2,8,3.1,567.03,0,133,36,0,0,0,0,0,11,5.63,5.28,3.52,5.28,5.63,4.23,7.39,9.51,2.11,4.93,5.63,7.04,1.76,4.58,3.17,4.93,7.75,1.41,3.52,6.34,284,2,8,13185.5,172,2,80,4,2,4,0,0,0,0,18,33,16,2,-11.155
20,24,4,0,0,0,0,0,0,31,51,38,38,18,13,13,0,13,4,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,511,4,1,5,3,364.169,0,64.2,28,0,0,0,0,0,1,4.24,6.67,0.61,9.7,0.61,2.42,7.27,7.88,3.64,4.85,4.24,7.88,3.64,5.45,3.03,4.85,6.06,4.24,4.24,6.06,485,3,0,20683.7,386,24,158,0,3,6,0,0,0,0,48,39,112,8,-11.114
33,31,2,5,1,0,3,0,3,45,78,65,65,32,13,13,0,13,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1050,10,2,11,1.5,602.206,0,114,42,2,0,0,0,0,5,3.03,4.04,3.03,4.04,2.02,5.05,4.04,13.13,1.01,15.15,3.03,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9622.6,126,13,73,0,0,6,1,0,0,0,23,12,6,2,-11.097
