@relation decoys		
@attribute	a1	numeric
@attribute	a2	numeric
@attribute	a3	numeric
@attribute	a4	numeric
@attribute	a5	numeric
@attribute	a6	numeric
@attribute	a7	numeric
@attribute	a8	numeric
@attribute	a9	numeric
@attribute	a10	numeric
@attribute	a11	numeric
@attribute	a12	numeric
@attribute	a13	numeric
@attribute	a14	numeric
@attribute	a15	numeric
@attribute	a16	numeric
@attribute	a17	numeric
@attribute	a18	numeric
@attribute	a19	numeric
@attribute	a20	numeric
@attribute	a21	numeric
@attribute	a22	numeric
@attribute	a23	numeric
@attribute	a24	numeric
@attribute	a25	numeric
@attribute	a26	numeric
@attribute	a27	numeric
@attribute	a28	numeric
@attribute	a29	numeric
@attribute	a30	numeric
@attribute	a31	numeric
@attribute	a32	numeric
@attribute	a33	numeric
@attribute	a34	numeric
@attribute	a35	numeric
@attribute	a36	numeric
@attribute	a37	numeric
@attribute	a38	numeric
@attribute	a39	numeric
@attribute	a40	numeric
@attribute	a41	numeric
@attribute	a42	numeric
@attribute	a43	numeric
@attribute	a44	numeric
@attribute	a45	numeric
@attribute	a46	numeric
@attribute	a47	numeric
@attribute	a48	numeric
@attribute	a49	numeric
@attribute	a50	numeric
@attribute	a51	numeric
@attribute	a52	numeric
@attribute	a53	numeric
@attribute	a54	numeric
@attribute	a55	numeric
@attribute	a56	numeric
@attribute	a57	numeric
@attribute	a58	numeric
@attribute	a59	numeric
@attribute	a60	numeric
@attribute	a61	numeric
@attribute	a62	numeric
@attribute	a63	numeric
@attribute	a64	numeric
@attribute	a65	numeric
@attribute	a66	numeric
@attribute	a67	numeric
@attribute	a68	numeric
@attribute	a69	numeric
@attribute	a70	numeric
@attribute	a71	numeric
@attribute	a72	numeric
@attribute	a73	numeric
@attribute	a74	numeric
@attribute	a75	numeric
@attribute	a76	numeric
@attribute	a77	numeric
@attribute	a78	numeric
@attribute	a79	numeric
@attribute	a80	numeric
@attribute	a81	numeric
@attribute	a82	numeric
@attribute	a83	numeric
@attribute	a84	numeric
@attribute	a85	numeric
@attribute	a86	numeric
@attribute	a87	numeric
@attribute	a88	numeric
@attribute	a89	numeric
@attribute	a90	numeric
@attribute	a91	numeric
@attribute	a92	numeric
@attribute	a93	numeric
@attribute	a94	numeric
@attribute	a95	numeric
@attribute	a96	numeric
@attribute	a97	numeric
@attribute	a98	numeric
@attribute	a99	numeric
@attribute	a100	numeric
@attribute	a101	numeric
@attribute	a102	numeric
@attribute	a103	numeric
@attribute	a104	numeric
@attribute	a105	numeric
@attribute	a106	numeric
@attribute	a107	numeric
@attribute	a108	numeric
@attribute	a109	numeric
@attribute	a110	numeric
@attribute	a111	numeric
@attribute	a112	numeric
@attribute	a113	numeric
@attribute	a114	numeric
@attribute	a115	numeric
@attribute	a116	numeric
@attribute	a117	numeric
@attribute	a118	numeric
@attribute	a119	numeric
@attribute	a120	numeric
@attribute	a121	numeric
@attribute	a122	numeric
@attribute	a123	numeric
@attribute	a124	numeric
@attribute	a125	numeric

@attribute	energy	{0,1}

@data
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,41,60,37,2,2,0,0,0,0,0,0,0,44,104,98,98,38,6,6,0,6,68.23242,56.20035945,0.626083951,296.04,2,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,49.34,564.4654792,7.239,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,40,58,36,2,2,0,0,0,0,0,0,0,43,101,95,95,37,6,6,0,6,66.046006,54.65853165,0.626897189,289.04,2,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,49.34,550.4498291,6.67,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,21,19,16,3,2,0,0,0,0,0,0,0,23,42,36,36,17,6,6,0,6,25.624933,24.85085304,0.663069865,109.05,5,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,6,0,0,3,0,0,0,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,1,3,77.04,285.1477268,0.88,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,35,42,30,4,1,0,0,0,0,0,0,0,39,81,73,73,31,8,8,0,8,48.852694,45.12503725,0.647852135,331.05,3,4,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,9,0,0,5,0,0,0,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,3,0,1,11,71.71,474.335862,4.489,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,30,28,24,3,3,0,0,0,0,0,0,0,33,61,52,52,24,9,9,0,9,37.443796,36.00387726,0.665457402,219.06,5,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,7,70.92,406.2130668,1.225,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,34,38,30,4,0,0,0,0,0,0,0,0,38,76,66,66,28,10,10,0,10,44.181866,43.32658254,0.663989804,322.04,2,4,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,9,0,0,5,0,0,0,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,3,0,1,11,52,454.3096472,5.265,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,25,27,22,2,1,0,0,0,0,0,0,0,28,55,48,48,21,7,7,0,7,33.774589,31.54540159,0.664963277,184.03,2,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,5,24.75,335.2123385,2.228,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,40,42,30,6,3,1,0,0,0,0,0,0,44,86,77,77,35,9,9,0,9,58.924694,49.25761734,0.657304703,376.1,7,4,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,8,0,1,4,0,0,0,2,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,2,0,1,15,128.02,566.3039102,2.565,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,38,38,31,4,2,0,0,0,1,0,0,1,42,80,70,70,32,10,10,0,10,47.475866,46.84703664,0.672014923,358.07,5,4,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,1,9,0,1,4,0,0,1,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,1,2,0,1,14,76.36,533.2683291,3.829,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,37,40,31,6,0,0,0,0,0,0,0,0,42,82,72,72,32,10,10,0,10,51.64828,46.38433747,0.661340073,432.06,4,2,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,2,12,0,0,6,0,0,0,4,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,4,0,2,10,54.8,496.3314453,5.207,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,29,28,24,3,2,0,0,0,0,0,0,0,33,61,53,53,25,8,8,0,8,35.463796,35.28907816,0.668706839,277.05,2,2,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,8,0,1,4,0,0,1,1,0,0,1,3,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,2,0,0,1,1,0,1,5,55.13,390.2181521,2.539,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,33,27,26,2,5,0,0,0,0,0,0,0,36,63,52,52,25,11,11,0,11,39.160589,38.40459801,0.674984142,240.07,6,2,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,7,0,0,4,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,10,78.3,447.191997,1.821,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,27,17,21,3,2,0,0,0,0,1,0,1,31,48,38,38,21,10,10,0,10,27.730519,30.59777448,0.739786078,259.06,4,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,5,0,1,8,19,0,0,5,0,0,0,5,0,1,8,3,0,0,0,3,0,0,0,0,0,0,0,5,1,8,0,3,0,0,0,5,1,8,0,49.74,422.0504139,0.931,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,24,25,21,2,0,1,0,0,0,0,0,0,27,52,45,45,20,7,7,0,7,32.250175,30.47582943,0.69460864,177.03,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,5,42.1,337.1738448,3.109,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,43,39,36,2,5,0,0,0,0,0,0,0,47,86,72,72,33,14,14,0,14,52.279073,51.65556483,0.674272871,403.07,6,2,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,7,0,1,4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,15,78.3,579.2858973,5.722,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,28,28,24,1,3,0,0,0,0,0,0,0,31,59,51,51,23,8,8,0,8,36.719796,34.48795013,0.665699358,205.04,3,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,39.97,378.2069188,2.291,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,31,32,26,1,3,1,0,0,0,0,0,0,34,66,58,58,26,8,8,0,8,44.692624,38.75866049,0.676393651,226.05,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,8,60.83,438.2102899,3.126,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,32,38,28,1,3,0,0,0,0,0,0,0,35,73,66,66,28,7,7,0,7,47.651866,41.19708915,0.64674195,233.04,3,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,39.97,436.2851691,4.75,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,43,39,33,4,6,0,0,0,0,0,0,0,49,88,78,78,39,10,10,0,10,55.941073,50.88629106,0.659609515,595.1,9,2,0,0,1,6,0,0,0,0,0,0,10,0,0,0,0,2,2,0,0,6,17,0,1,6,0,0,2,2,0,0,6,6,0,0,1,5,0,0,0,0,0,0,2,2,0,6,1,5,0,0,2,2,0,6,6,113.18,587.28696,1.689,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,32,38,28,1,3,0,0,0,0,0,0,0,35,73,66,66,28,7,7,0,7,47.651866,41.19708915,0.64674195,233.04,3,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,39.97,436.2851691,4.75,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,31,36,25,1,4,1,0,0,0,0,0,0,34,70,65,65,29,5,5,0,5,50.981452,39.5571152,0.652091769,226.06,4,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,8,70.06,446.2365046,2.745,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,31,36,25,1,4,1,0,0,0,0,0,0,34,70,65,65,29,5,5,0,5,50.981452,39.5571152,0.652091769,226.06,4,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,8,70.06,446.2365046,2.745,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,28,33,25,2,1,0,0,0,0,0,0,0,31,64,57,57,24,7,7,0,7,40.333831,36.170885,0.655307441,205.03,2,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,4,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,6,24.75,377.2592887,3.136,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,35,35,29,4,2,0,0,0,0,0,0,0,39,74,64,64,29,10,10,0,10,41.860245,42.94343904,0.665284474,331.06,5,5,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,1,9,0,1,4,0,0,1,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,1,2,0,1,11,87.36,471.2760014,3.324,1
